Rndrng_NPI,Tot_Srvcs
1417915653," $21,692,200.00 "
1538144910," $16,020,565.00 "
1013998921," $14,415,062.00 "
1063477073," $13,831,717.00 "
1063497451," $12,292,335.00 "
1932145778," $9,239,764.00 "
1891731626," $8,831,691.00 "
1366479099," $7,632,032.00 "
1043382302," $7,171,071.00 "
1871881573," $6,597,499.00 "
